Feature,Type,Count,Missing,Missing%,Mean,Std,Min,Max,Skew,Outliers
stay_id,int64,140,0,0.00,35102545.2071,2823925.2325,30057454.0000,39880770.0000,-0.0030,0
subject_id,int64,140,0,0.00,10018563.3214,10857.8193,10000032.0000,10040025.0000,0.2709,0
hadm_id,int64,140,0,0.00,25150128.4643,2929135.3445,20044587.0000,29974575.0000,-0.0614,0
in_icu_mortality,int64,140,0,0.00,0.0857,0.2809,0.0000,1.0000,2.9598,0
in_hospital_mortality,int64,140,0,0.00,0.1429,0.3512,0.0000,1.0000,2.0412,0
item_50971_last,float64,138,2,1.43,4.1630,0.6664,3.0000,6.2000,0.9804,5
item_50971_mean,float64,138,2,1.43,4.0886,0.4833,3.2000,5.6800,0.7065,1
item_50971_min,float64,138,2,1.43,3.6906,0.5365,2.3000,5.3000,0.4504,1
item_50971_max,float64,138,2,1.43,4.5848,0.7928,3.2000,7.5000,0.9489,1
item_50971_std,float64,110,30,21.43,0.4070,0.1983,0.0707,0.9866,0.5918,0
item_50971_count,float64,138,2,1.43,7.1667,8.8248,1.0000,54.0000,2.7857,10
item_50971_pct_abnormal,float64,138,2,1.43,0.0971,0.1961,0.0000,1.0000,2.8705,16
item_50983_last,float64,138,2,1.43,137.7174,4.8900,125.0000,154.0000,0.2353,4
item_50983_mean,float64,138,2,1.43,137.8621,4.5298,125.0000,151.5625,0.2087,6
item_50983_min,float64,138,2,1.43,135.1449,4.9117,119.0000,149.0000,-0.2082,2
item_50983_max,float64,138,2,1.43,140.5072,5.8898,125.0000,168.0000,1.1237,12
item_50983_std,float64,110,30,21.43,2.4057,1.6375,0.0000,12.5892,2.8148,5
item_50983_count,float64,138,2,1.43,7.1594,8.8427,1.0000,54.0000,2.7741,10
item_50983_pct_abnormal,float64,138,2,1.43,0.1894,0.3140,0.0000,1.0000,1.6061,12
item_50912_last,float64,137,3,2.14,1.4693,1.4912,0.2000,8.1000,2.4498,12
item_50912_mean,float64,137,3,2.14,1.4354,1.5316,0.2273,10.5000,3.2012,14
item_50912_min,float64,137,3,2.14,1.1635,1.2411,0.1000,8.1000,3.4794,8
item_50912_max,float64,137,3,2.14,1.7526,2.0183,0.3000,15.2000,3.3110,14
item_50912_std,float64,110,30,21.43,0.2860,0.5382,0.0000,4.6033,5.4324,15
