Feature,Ranking,Selected
item_50971_mean,1,True
item_50912_last,1,True
item_50912_mean,1,True
item_50983_mean,1,True
item_51006_mean,1,True
item_51006_last,1,True
item_50902_last,1,True
item_50912_max,1,True
item_50868_last,1,True
item_50868_mean,1,True
item_51265_min,1,True
item_51265_mean,1,True
item_51279_min,1,True
item_51301_count,1,True
item_51222_min,1,True
item_50893_min,1,True
item_50970_last,1,True
item_50970_mean,1,True
item_50893_std,1,True
item_50970_max,1,True
item_51222_count,2,False
item_51006_std,2,False
item_51265_std,2,False
item_50912_min,2,False
item_50970_min,2,False
item_51265_count,3,False
item_50868_min,3,False
item_51250_count,3,False
item_50902_max,3,False
item_50983_count,3,False
item_50960_count,4,False
item_50931_min,4,False
item_50882_mean,4,False
item_50868_max,4,False
item_51249_std,4,False
item_50893_mean,5,False
item_51279_count,5,False
item_51265_max,5,False
item_50983_max,5,False
item_50912_count,5,False
item_51250_max,6,False
item_50893_max,6,False
item_51006_count,6,False
item_51006_min,6,False
item_51277_count,6,False
item_50983_last,7,False
item_51222_mean,7,False
item_51250_mean,7,False
item_51221_max,7,False
item_51222_last,7,False
item_51248_mean,8,False
item_51249_count,8,False
item_51265_last,8,False
item_51221_min,8,False
item_50971_max,8,False
item_50882_count,9,False
item_51250_std,9,False
item_50868_count,9,False
item_50960_mean,9,False
item_51279_last,9,False
item_50931_count,10,False
item_51301_min,10,False
item_50882_pct_abnormal,10,False
item_50971_std,10,False
item_51277_max,10,False
item_50882_min,11,False
item_50971_min,11,False
item_50882_max,11,False
item_50983_min,11,False
item_50882_last,11,False
item_51279_std,12,False
item_51221_count,12,False
item_50931_last,12,False
item_51221_last,12,False
item_51301_mean,12,False
item_51248_min,13,False
item_50902_std,13,False
item_51279_mean,13,False
item_50971_count,13,False
item_50902_min,13,False
item_50893_pct_abnormal,14,False
item_50902_mean,14,False
item_51277_min,14,False
item_50931_max,14,False
item_50931_mean,14,False
item_50931_pct_abnormal,15,False
item_51250_min,15,False
item_50902_count,15,False
item_50912_std,15,False
item_50931_std,15,False
item_50960_max,16,False
item_51277_last,16,False
item_51248_std,16,False
item_51277_std,16,False
item_51248_pct_abnormal,16,False
item_50960_min,17,False
item_51249_max,17,False
item_50893_last,17,False
item_50970_count,17,False
item_50893_count,17,False
item_51301_max,18,False
item_51248_max,18,False
item_51248_last,18,False
item_51249_mean,18,False
item_51222_max,18,False
item_51265_pct_abnormal,19,False
item_50868_pct_abnormal,19,False
item_50960_pct_abnormal,19,False
item_51301_std,19,False
item_51221_mean,19,False
item_51248_count,20,False
item_51277_mean,20,False
item_51221_std,20,False
item_51006_max,20,False
item_51250_pct_abnormal,20,False
item_51279_max,21,False
item_51301_last,21,False
item_50970_std,21,False
item_51250_last,21,False
item_51277_pct_abnormal,21,False
item_51222_pct_abnormal,22,False
item_50960_std,22,False
item_50902_pct_abnormal,22,False
item_51222_std,22,False
item_50882_std,22,False
item_50960_last,23,False
item_51249_pct_abnormal,23,False
item_51249_min,23,False
item_51006_pct_abnormal,23,False
item_50970_pct_abnormal,23,False
item_50983_pct_abnormal,24,False
item_50983_std,24,False
item_51249_last,24,False
item_50912_pct_abnormal,24,False
item_50971_last,24,False
item_50971_pct_abnormal,25,False
item_51279_pct_abnormal,25,False
item_51301_pct_abnormal,25,False
item_51221_pct_abnormal,25,False
item_50868_std,25,False
