Feature,VIF,R_squared,Issue
item_50902_last,9850.470764172285,0.9998984820092419,High multicollinearity
item_51249_mean,9678.6746533194,0.9998966800687265,High multicollinearity
item_50912_max,9410.973554714925,0.9998937410678942,High multicollinearity
item_50983_last,8440.922450784074,0.9998815295359209,High multicollinearity
item_50868_max,7922.615640571492,0.9998737790591684,High multicollinearity
item_51006_std,7737.452484536749,0.9998707584955128,High multicollinearity
item_50902_max,7619.029128803256,0.9998687496814759,High multicollinearity
item_51221_count,7057.840347161801,0.9998583135986631,High multicollinearity
item_50931_max,6402.221062628277,0.99984380420635,High multicollinearity
item_51221_max,6225.41582903651,0.9998393681599009,High multicollinearity
item_51277_last,5724.923243410158,0.9998253251690054,High multicollinearity
item_51249_std,5448.976987534974,0.9998164793130366,High multicollinearity
item_51265_min,5394.830808681497,0.9998146373750237,High multicollinearity
item_50882_last,5384.481879744255,0.9998142811096158,High multicollinearity
item_51301_max,5243.77399141777,0.9998092976543923,High multicollinearity
item_50971_min,4885.542088912618,0.9997953144232921,High multicollinearity
item_51279_std,4816.765952928994,0.9997923918226934,High multicollinearity
item_50882_min,4409.691199509556,0.9997732267510906,High multicollinearity
item_51277_std,4294.098838736902,0.9997671222676621,High multicollinearity
item_50868_last,4218.284915696936,0.9997629368285962,High multicollinearity
item_50983_min,4011.7567549630207,0.9997507326438068,High multicollinearity
item_51265_mean,4008.343242563633,0.9997505203672726,High multicollinearity
item_50983_std,3884.309346555603,0.9997425539752938,High multicollinearity
item_50882_max,3779.3744986941956,0.9997354059513431,High multicollinearity
item_50893_max,3627.6978110801297,0.9997243430814591,High multicollinearity
item_50970_min,3475.56673128807,0.9997122771400135,High multicollinearity
item_50893_min,3354.4356398323434,0.9997018872599237,High multicollinearity
item_51265_max,3229.006693811273,0.9996903072384716,High multicollinearity
item_50931_std,3190.5418249173777,0.9996865736119833,High multicollinearity
item_50893_mean,3148.7590899065235,0.999682414573028,High multicollinearity
item_50971_mean,2763.4920091865292,0.9996381389934634,High multicollinearity
item_51222_std,2698.346545137039,0.9996294026792807,High multicollinearity
item_51250_std,2445.5171363676186,0.9995910885329206,High multicollinearity
