Feature,Correlation,P_value,AUC,Odds_Ratio,Significant
in_hospital_mortality,0.75,1.5179511919599474e-26,0.96875,6.740351784421245,True
item_51301_count,0.41543482055653325,6.612333965779768e-07,0.8841463414634146,2.2997396872535694,True
item_51277_count,0.3939584771318663,2.7103886532881074e-06,0.8833333333333334,2.2673284124227977,True
item_51279_count,0.39614092684138474,2.3588751029020457e-06,0.8833333333333334,2.271256581122665,True
item_51249_count,0.39614092684138474,2.3588751029020457e-06,0.8833333333333334,2.271256581122665,True
item_51250_count,0.39614092684138474,2.3588751029020457e-06,0.8833333333333334,2.271256581122665,True
item_51248_count,0.39614092684138474,2.3588751029020457e-06,0.8833333333333334,2.271256581122665,True
item_51222_count,0.41700851771961545,5.939658016619717e-07,0.8829268292682927,2.315015143723742,True
item_51265_count,0.3979080873701107,2.106406349228815e-06,0.8788617886178862,2.2047102938781484,True
item_50868_mean,0.4542912976161995,2.4604754475214016e-08,0.8700787401574803,3.615912501771703,True
item_51006_last,0.4588020341885399,1.7157730996384633e-08,0.8661417322834646,2.8915614194088235,True
item_50912_pct_abnormal,0.3855832237348427,3.271358116752591e-06,0.865748031496063,5.419000921033118,True
item_50868_max,0.4416935086921576,6.55314559812711e-08,0.8637795275590552,3.187834023000191,True
item_51221_count,0.3965054651425577,2.3045523362934082e-06,0.8617886178861789,2.238779989323179,True
item_50868_last,0.4246526890461878,2.3183871576933918e-07,0.8551181102362205,3.4329003792712496,True
item_50931_count,0.3308367974562758,7.859367271708478e-05,0.8539370078740157,1.9396147720757384,True
item_51006_count,0.33664223137612437,5.7647915023093386e-05,0.8527559055118109,2.0156483467425232,True
item_50970_count,0.33705176416186794,6.825984365933587e-05,0.8524193548387097,2.0288451165302677,True
item_50912_count,0.3352687982317929,6.206840378388998e-05,0.8523622047244094,2.009520568874902,True
item_50882_count,0.32604837026373074,0.00010101895226947214,0.8523622047244094,1.9229098681771408,True
