itemid,label,fluid,category
50808,Free Calcium,Blood,Blood Gas
50826,Tidal Volume,Blood,Blood Gas
50813,Lactate,Blood,Blood Gas
52029,% Ionized Calcium,Blood,Blood Gas
50801,Alveolar-arterial Gradient,Blood,Blood Gas
50810,"Hematocrit, Calculated",Blood,Blood Gas
52025,Delete,Blood,Blood Gas
52031,Osmolality,Blood,Blood Gas
52022,"Albumin, Blood",Blood,Blood Gas
50806,"Chloride, Whole Blood",Blood,Blood Gas
50820,pH,Blood,Blood Gas
52028,Hematocrit,Blood,Blood Gas
52036,Voided Specimen,Blood,Blood Gas
50812,Intubated,Blood,Blood Gas
50817,Oxygen Saturation,Blood,Blood Gas
52035,Total Calcium,Blood,Blood Gas
50823,Required O2,Blood,Blood Gas
52024,"Creatinine, Whole Blood",Blood,Blood Gas
52037,WB tCO2,Blood,Blood Gas
50815,O2 Flow,Blood,Blood Gas
52452,"Potassium, Whole Blood",Blood,Blood Gas
50804,Calculated Total CO2,Blood,Blood Gas
52030,Lithium,Blood,Blood Gas
50811,Hemoglobin,Blood,Blood Gas
50824,"Sodium, Whole Blood",Blood,Blood Gas
52033,Specimen Type,Blood,Blood Gas
52027,"Glucose, Whole Blood",Blood,Blood Gas
50802,Base Excess,Blood,Blood Gas
50814,Methemoglobin,Blood,Blood Gas
52034,Total Calcium,Blood,Blood Gas
52442,Lactate,Blood,Blood Gas
50818,pCO2,Blood,Blood Gas
50828,Ventilator,Blood,Blood Gas
50809,Glucose,Blood,Blood Gas
50821,pO2,Blood,Blood Gas
52026,Estimated GFR (MDRD equation),Blood,Blood Gas
52434,"Chloride, Whole Blood",Blood,Blood Gas
50803,"Calculated Bicarbonate, Whole Blood",Blood,Blood Gas
52023,Assist/Control,Blood,Blood Gas
50822,"Potassium, Whole Blood",Blood,Blood Gas
50827,Ventilation Rate,Blood,Blood Gas
52032,P50 of Hemoglobin,Blood,Blood Gas
50819,PEEP,Blood,Blood Gas
52021,Abz,Blood,Blood Gas
50805,Carboxyhemoglobin,Blood,Blood Gas
50816,Oxygen,Blood,Blood Gas
50825,Temperature,Blood,Blood Gas
52455,"Sodium, Whole Blood",Blood,Blood Gas
52039,Calculated Bicarbonate,Fluid,Blood Gas
52042,pO2,Fluid,Blood Gas
52040,pCO2,Fluid,Blood Gas
52038,Base Excess,Fluid,Blood Gas
52041,pH,Fluid,Blood Gas
52045,"pH, Urine",Urine,Blood Gas
52044,"Osmolality, Urine",Urine,Blood Gas
52047,"Sodium, Urine",Urine,Blood Gas
52046,"Potassium, Urine",Urine,Blood Gas
52043,Voided Specimen,Other Body Fluid,Blood Gas
50829,Fluid Type,Other Body Fluid,Blood Gas
50833,Potassium,Other Body Fluid,Blood Gas
50834,"Sodium, Body Fluid",Other Body Fluid,Blood Gas
50832,"pO2, Body Fluid",Other Body Fluid,Blood Gas
50831,pH,Other Body Fluid,Blood Gas
50830,"pCO2, Body Fluid",Other Body Fluid,Blood Gas
50858,Acid Phosphatase,Blood,Chemistry
50879,Barbiturate Screen,Blood,Chemistry
50900,Carcinoembyronic Antigen (CEA),Blood,Chemistry
50914,Cyclosporin,Blood,Chemistry
51582,CH50,Blood,Chemistry
51615,Epstein-Barr Virus EBNA IgG Ab,Blood,Chemistry
51672,Immune Complexes,Blood,Chemistry
51685,Lidocaine,Blood,Chemistry
51755,White Blood Cells,Blood,Chemistry
51773,RFXFRKL,Blood,Chemistry
53153,HIV Screen,Blood,Chemistry
50925,Folate,Blood,Chemistry
50927,Gamma Glutamyltransferase,Blood,Chemistry
50953,"Iron Binding Capacity, Total",Blood,Chemistry
51007,Uric Acid,Blood,Chemistry
51670,Icd9,Blood,Chemistry
51740,Toxic Screen,Blood,Chemistry
51743,Toxoplasma IgM Ab,Blood,Chemistry
51757,Xxx,Blood,Chemistry
53146,Anti Hav,Blood,Chemistry
50854,Absolute A1c,Blood,Chemistry
50887,Blue Top Hold,Blood,Chemistry
50945,Homocysteine,Blood,Chemistry
50958,Luteinizing Hormone,Blood,Chemistry
50993,Thyroid Stimulating Hormone,Blood,Chemistry
51557,Anti-Microsomal Antibody,Blood,Chemistry
51659,HPE3,Blood,Chemistry
51683,"LD, Isoenzyme 4",Blood,Chemistry
51693,Mumps IgG Ab,Blood,Chemistry
51709,Quantitative RPR Test,Blood,Chemistry
51734,STX3,Blood,Chemistry
50870,"Anti-Gliadin Antibody, IgA",Blood,Chemistry
50979,Red Top Hold,Blood,Chemistry
51010,Vitamin B12,Blood,Chemistry
50893,"Calcium, Total",Blood,Chemistry
50899,Carbamazepine,Blood,Chemistry
51567,Beta Hydroxybutyrate,Blood,Chemistry
51580,Calculated CK-MB,Blood,Chemistry
51629,Fructosamine Plus,Blood,Chemistry
51658,HPE2,Blood,Chemistry
51681,"LD, Isoenzyme 2",Blood,Chemistry
51695,Myoglobin,Blood,Chemistry
51724,Rubella IgG Ab,Blood,Chemistry
51756,White Blood Cells,Blood,Chemistry
50866,Ammonia,Blood,Chemistry
50871,Anti-Mitochondrial Antibody,Blood,Chemistry
50918,Double Stranded DNA,Blood,Chemistry
51625,Free Kappa,Blood,Chemistry
51641,Hemoglobin  A,Blood,Chemistry
50869,Anti-DGP (IgA/IgG),Blood,Chemistry
50936,"HCG, Maternal Screen",Blood,Chemistry
50977,Quinidine,Blood,Chemistry
50991,Thyroglobulin,Blood,Chemistry
51590,CMV Interpretation,Blood,Chemistry
51651,Hepatitis C Viral Load,Blood,Chemistry
51708,Qnthbsab,Blood,Chemistry
53086,Alkaline Phosphatase,Blood,Chemistry
50960,Magnesium,Blood,Chemistry
51009,Vancomycin,Blood,Chemistry
51633,Hbeag,Blood,Chemistry
51742,Toxoplasma IgG Ab Value,Blood,Chemistry
50915,D-Dimer,Blood,Chemistry
50983,Sodium,Blood,Chemistry
51589,CMV IgM Ab Value,Blood,Chemistry
51597,Cvhlc,Blood,Chemistry
51640,Hemoglobin,Blood,Chemistry
51660,HPE4,Blood,Chemistry
52562,Folate,Blood,Chemistry
50917,Digoxin,Blood,Chemistry
51569,"Bilirubin, Neonatal, Direct",Blood,Chemistry
51729,Serum B12,Blood,Chemistry
51732,STX1,Blood,Chemistry
52500,Anion Gap,Blood,Chemistry
53088,Asparate Aminotransferase,Blood,Chemistry
50923,Fax,Blood,Chemistry
50926,Follicle Stimulating Hormone,Blood,Chemistry
50949,Immunoglobulin A,Blood,Chemistry
50965,Parathyroid Hormone,Blood,Chemistry
50980,Rheumatoid Factor,Blood,Chemistry
50981,Salicylate,Blood,Chemistry
50986,tacroFK,Blood,Chemistry
51585,Clostrid,Blood,Chemistry
51604,Delete,Blood,Chemistry
51620,Epstein-Barr Virus VCA IgM Ab,Blood,Chemistry
51650,Hepatitis B Virus E Antigen,Blood,Chemistry
51686,Lip2,Blood,Chemistry
51689,Lyme G and M Value,Blood,Chemistry
51710,Rapid Plasma Reagin Test,Blood,Chemistry
51741,Toxoplasma IgG Ab,Blood,Chemistry
51772,PAN3,Blood,Chemistry
50905,"Cholesterol, LDL, Calculated",Blood,Chemistry
50928,Gastrin,Blood,Chemistry
50948,Immunofixation,Blood,Chemistry
50964,"Osmolality, Measured",Blood,Chemistry
51634,Hbsag,Blood,Chemistry
51657,HPE1,Blood,Chemistry
51673,Immunoelectrophoresis,Blood,Chemistry
51759,Z,Blood,Chemistry
50895,Calculated TBG,Blood,Chemistry
51687,Lipo Electrophoresis,Blood,Chemistry
51745,Toxoplasma Interpretation,Blood,Chemistry
53140,Aldosterone,Blood,Chemistry
50997,Tobramycin,Blood,Chemistry
51568,"Bilirubin, Neonatal",Blood,Chemistry
51577,C5,Blood,Chemistry
51592,Conj Bili,Blood,Chemistry
51594,"Creatine Kinase, Isoenzyme BB",Blood,Chemistry
51602,Delete,Blood,Chemistry
51774,RFXHCV,Blood,Chemistry
50876,Anti-Smooth Muscle Antibody,Blood,Chemistry
50894,Calculated Free Testosterone,Blood,Chemistry
50955,Light Green Top Hold,Blood,Chemistry
51583,Chol Estr,Blood,Chemistry
51700,Np-fx,Blood,Chemistry
51713,Reflex Confirmatory Hepatitis C Viral Load,Blood,Chemistry
51748,Treponema pallidum (Syphilis) Ab,Blood,Chemistry
53150,Anti Hbs,Blood,Chemistry
50942,Hepatitis B Virus Core Antibody,Blood,Chemistry
50950,Immunoglobulin G,Blood,Chemistry
50974,Prostate Specific Antigen,Blood,Chemistry
50999,Tricyclic Antidepressant Screen,Blood,Chemistry
51004,"UE3, Maternal Screen",Blood,Chemistry
51559,Anti-ro,Blood,Chemistry
51564,ARCH-1,Blood,Chemistry
51596,"Creatine Kinase, Isoenzyme MM",Blood,Chemistry
51611,Down Syndrome Risk,Blood,Chemistry
51676,Insulin,Blood,Chemistry
51749,Treponema pallidum (syphilis) value,Blood,Chemistry
50852,% Hemoglobin A1c,Blood,Chemistry
50886,Blood Culture Hold,Blood,Chemistry
51581,Carotene,Blood,Chemistry
51720,Reserved4,Blood,Chemistry
51752,Voided Specimen,Blood,Chemistry
53144,ANCA Titer,Blood,Chemistry
50902,Chloride,Blood,Chemistry
50972,Procainamide,Blood,Chemistry
50973,Prolactin,Blood,Chemistry
50976,"Protein, Total",Blood,Chemistry
51560,Anti-SARS-CoV-2 IgA,Blood,Chemistry
51613,eAG,Blood,Chemistry
51628,Fructosamine,Blood,Chemistry
51635,Hbsag,Blood,Chemistry
51638,Hematocrit,Blood,Chemistry
51712,Referred,Blood,Chemistry
51738,Thyroid Binding Globulin,Blood,Chemistry
53084,Alanine Aminotransferase,Blood,Chemistry
50868,Anion Gap,Blood,Chemistry
50874,"Anti-Nuclear Antibody, Titer",Blood,Chemistry
50922,Ethanol,Blood,Chemistry
50966,Phenobarbital,Blood,Chemistry
50998,Transferrin,Blood,Chemistry
51637,"HCG, Qualitative",Blood,Chemistry
51667,H. pylori IgG Ab Value,Blood,Chemistry
51696,Neural Tube Defect Risk,Blood,Chemistry
52610,Potassium,Blood,Chemistry
50883,"Bilirubin, Direct",Blood,Chemistry
51576,C2,Blood,Chemistry
51692,"Monospot, Rapid Antigen",Blood,Chemistry
51699,Not Done,Blood,Chemistry
51761,Zinc,Blood,Chemistry
50861,Alanine Aminotransferase (ALT),Blood,Chemistry
50863,Alkaline Phosphatase,Blood,Chemistry
50881,Beta-2 Microglobulin,Blood,Chemistry
50913,Cryoglobulin,Blood,Chemistry
51572,Bioavailable Testosterone,Blood,Chemistry
51631,Glycated Hemoglobin,Blood,Chemistry
51636,"HCG, Multiples of Median",Blood,Chemistry
51649,Hepatitis B Virus E Antibody,Blood,Chemistry
51767,EE5,Blood,Chemistry
50896,Calculated Thyroxine (T4) Index,Blood,Chemistry
50930,Globulin,Blood,Chemistry
50933,Green Top Hold (plasma),Blood,Chemistry
50940,Hepatitis B Surface Antibody,Blood,Chemistry
50941,Hepatitis B Surface Antigen,Blood,Chemistry
51598,Cytomegalovirus Viral Load,Blood,Chemistry
51601,Delete,Blood,Chemistry
53129,3t,Blood,Chemistry
53137,Afp Mom,Blood,Chemistry
51648,Hepatitis B Viral Load,Blood,Chemistry
51704,Platelet Count,Blood,Chemistry
51735,STX4,Blood,Chemistry
51763,EE2,Blood,Chemistry
53087,Amylase,Blood,Chemistry
53141,Alpha-1,Blood,Chemistry
53143,Alpha-2,Blood,Chemistry
50865,Amikacin,Blood,Chemistry
50885,"Bilirubin, Total",Blood,Chemistry
50921,Estradiol,Blood,Chemistry
51609,Disopyramide,Blood,Chemistry
51617,Epstein-Barr Virus IgM Ab Value,Blood,Chemistry
51621,Ethylene Glycol,Blood,Chemistry
51623,Fibrinogen,Blood,Chemistry
51632,Growth Hormone,Blood,Chemistry
51643,Hemoglobin  A2,Blood,Chemistry
51664,HPE8,Blood,Chemistry
51770,MDRDgfr,Blood,Chemistry
52623,Sodium,Blood,Chemistry
