feature,mean_abs_shap
item_51250_max,0.43905285
item_51221_count,0.43432033
item_50912_mean,0.35945123
item_50882_mean,0.35323882
item_50868_mean,0.31478894
item_51250_mean,0.29923135
item_50971_max,0.2693741
item_50983_mean,0.24781518
item_51006_pct_abnormal,0.23189954
item_51265_min,0.21005993
item_50931_max,0.2090565
item_51006_last,0.20235562
item_50912_pct_abnormal,0.18344685
item_51248_last,0.17745589
item_51006_mean,0.17408739
item_50970_max,0.16144845
item_50971_mean,0.15505666
item_51248_min,0.15394494
item_50931_std,0.15225883
item_50893_pct_abnormal,0.14911476
item_50983_pct_abnormal,0.14877859
item_51222_count,0.13513859
item_50893_min,0.12683631
item_50868_min,0.12587959
item_50912_last,0.12038473
item_50971_min,0.11458004
item_51248_mean,0.11347509
item_50893_max,0.112677105
item_51249_mean,0.10926855
item_50902_min,0.10513107
item_51301_max,0.10507953
item_50931_count,0.103467554
item_51301_min,0.08406901
item_50882_min,0.082816705
item_50902_last,0.081935465
item_51221_max,0.07394828
item_51249_pct_abnormal,0.06901712
item_51279_min,0.060851783
item_51279_mean,0.0595584
item_50931_mean,0.05363553
item_50893_last,0.05214691
item_50931_min,0.0517734
item_51221_mean,0.049536947
item_51265_max,0.040918026
item_51222_max,0.033762757
item_51265_count,0.03239182
item_50971_pct_abnormal,0.027254933
item_50971_last,0.023251733
item_51277_last,0.020456921
item_50882_pct_abnormal,0.016010892
item_50868_max,0.012883802
item_50971_count,0.0
item_50983_std,0.0
item_50983_max,0.0
item_50983_min,0.0
item_50983_last,0.0
item_50971_std,0.0
item_51006_min,0.0
item_50912_max,0.0
item_50912_std,0.0
item_50882_last,0.0
item_51221_pct_abnormal,0.0
item_51221_min,0.0
item_51221_std,0.0
item_51006_max,0.0
item_51006_std,0.0
item_51006_count,0.0
item_51221_last,0.0
item_50902_pct_abnormal,0.0
item_50902_count,0.0
item_50902_std,0.0
item_50902_max,0.0
item_50902_mean,0.0
item_50912_count,0.0
item_50912_min,0.0
item_50983_count,0.0
item_51277_count,0.0
item_51277_std,0.0
item_51277_max,0.0
item_51277_min,0.0
item_51277_mean,0.0
item_51222_pct_abnormal,0.0
item_51222_min,0.0
item_51222_std,0.0
item_51265_std,0.0
item_51265_pct_abnormal,0.0
item_51222_mean,0.0
item_51222_last,0.0
item_50868_pct_abnormal,0.0
item_50868_count,0.0
item_51265_mean,0.0
item_51265_last,0.0
item_50882_count,0.0
item_50882_std,0.0
item_50882_max,0.0
item_50868_last,0.0
item_50868_std,0.0
item_51301_mean,0.0
item_51301_last,0.0
item_51301_std,0.0
item_51249_last,0.0
item_51301_pct_abnormal,0.0
item_51301_count,0.0
item_51279_pct_abnormal,0.0
item_51279_max,0.0
item_51279_std,0.0
item_51279_last,0.0
item_51277_pct_abnormal,0.0
item_51250_pct_abnormal,0.0
item_51250_min,0.0
item_51250_std,0.0
item_51250_count,0.0
item_51249_std,0.0
item_51249_max,0.0
item_51249_count,0.0
item_51250_last,0.0
item_51249_min,0.0
item_51279_count,0.0
item_50931_pct_abnormal,0.0
item_51248_std,0.0
item_50931_last,0.0
item_51248_count,0.0
item_51248_pct_abnormal,0.0
item_51248_max,0.0
item_50960_std,0.0
item_50960_max,0.0
item_50960_min,0.0
item_50960_mean,0.0
item_50960_last,0.0
item_50960_pct_abnormal,0.0
item_50893_mean,0.0
item_50960_count,0.0
item_50893_count,0.0
item_50893_std,0.0
item_50970_mean,0.0
item_50970_last,0.0
item_50970_min,0.0
item_50970_std,0.0
item_50970_count,0.0
item_50970_pct_abnormal,0.0
