threshold,sensitivity,specificity,precision,f1,tp,fp,tn,fn
0.0,1.0,0.0,0.057971014492753624,0.1095890410958904,4,65,0,0
0.01,1.0,0.27692307692307694,0.0784313725490196,0.14545454545454545,4,47,18,0
0.02,0.75,0.6615384615384615,0.12,0.20689655172413793,3,22,43,1
0.03,0.75,0.7538461538461538,0.15789473684210525,0.2608695652173913,3,16,49,1
0.04,0.75,0.8307692307692308,0.21428571428571427,0.3333333333333333,3,11,54,1
0.05,0.75,0.8461538461538461,0.23076923076923078,0.35294117647058826,3,10,55,1
0.06,0.75,0.8769230769230769,0.2727272727272727,0.4,3,8,57,1
0.07,0.75,0.8923076923076924,0.3,0.42857142857142855,3,7,58,1
0.08,0.5,0.8923076923076924,0.2222222222222222,0.3076923076923077,2,7,58,2
0.09,0.5,0.8923076923076924,0.2222222222222222,0.3076923076923077,2,7,58,2
0.1,0.5,0.8923076923076924,0.2222222222222222,0.3076923076923077,2,7,58,2
0.11,0.5,0.8923076923076924,0.2222222222222222,0.3076923076923077,2,7,58,2
0.12,0.5,0.9076923076923077,0.25,0.3333333333333333,2,6,59,2
0.13,0.5,0.9076923076923077,0.25,0.3333333333333333,2,6,59,2
0.14,0.5,0.9076923076923077,0.25,0.3333333333333333,2,6,59,2
0.15,0.5,0.9076923076923077,0.25,0.3333333333333333,2,6,59,2
0.16,0.5,0.9384615384615385,0.3333333333333333,0.4,2,4,61,2
0.17,0.5,0.9384615384615385,0.3333333333333333,0.4,2,4,61,2
0.18,0.5,0.9384615384615385,0.3333333333333333,0.4,2,4,61,2
0.19,0.5,0.9384615384615385,0.3333333333333333,0.4,2,4,61,2
0.2,0.5,0.9384615384615385,0.3333333333333333,0.4,2,4,61,2
0.21,0.5,0.9384615384615385,0.3333333333333333,0.4,2,4,61,2
0.22,0.5,0.9384615384615385,0.3333333333333333,0.4,2,4,61,2
0.23,0.5,0.9384615384615385,0.3333333333333333,0.4,2,4,61,2
0.24,0.5,0.9384615384615385,0.3333333333333333,0.4,2,4,61,2
0.25,0.5,0.9384615384615385,0.3333333333333333,0.4,2,4,61,2
0.26,0.5,0.9384615384615385,0.3333333333333333,0.4,2,4,61,2
0.27,0.5,0.9384615384615385,0.3333333333333333,0.4,2,4,61,2
0.28,0.5,0.9384615384615385,0.3333333333333333,0.4,2,4,61,2
0.29,0.5,0.9384615384615385,0.3333333333333333,0.4,2,4,61,2
0.3,0.5,0.9538461538461539,0.4,0.4444444444444444,2,3,62,2
0.31,0.5,0.9538461538461539,0.4,0.4444444444444444,2,3,62,2
0.32,0.5,0.9538461538461539,0.4,0.4444444444444444,2,3,62,2
0.33,0.5,0.9538461538461539,0.4,0.4444444444444444,2,3,62,2
0.34,0.5,0.9538461538461539,0.4,0.4444444444444444,2,3,62,2
0.35000000000000003,0.5,0.9538461538461539,0.4,0.4444444444444444,2,3,62,2
0.36,0.5,0.9538461538461539,0.4,0.4444444444444444,2,3,62,2
0.37,0.5,0.9538461538461539,0.4,0.4444444444444444,2,3,62,2
0.38,0.5,0.9538461538461539,0.4,0.4444444444444444,2,3,62,2
0.39,0.5,0.9538461538461539,0.4,0.4444444444444444,2,3,62,2
0.4,0.5,0.9538461538461539,0.4,0.4444444444444444,2,3,62,2
0.41000000000000003,0.5,0.9538461538461539,0.4,0.4444444444444444,2,3,62,2
0.42,0.25,0.9538461538461539,0.25,0.25,1,3,62,3
0.43,0.25,0.9538461538461539,0.25,0.25,1,3,62,3
0.44,0.25,0.9538461538461539,0.25,0.25,1,3,62,3
0.45,0.25,0.9538461538461539,0.25,0.25,1,3,62,3
0.46,0.25,0.9538461538461539,0.25,0.25,1,3,62,3
0.47000000000000003,0.25,0.9538461538461539,0.25,0.25,1,3,62,3
0.48,0.25,0.9538461538461539,0.25,0.25,1,3,62,3
0.49,0.25,0.9538461538461539,0.25,0.25,1,3,62,3
0.5,0.25,0.9538461538461539,0.25,0.25,1,3,62,3
0.51,0.25,0.9538461538461539,0.25,0.25,1,3,62,3
0.52,0.25,0.9538461538461539,0.25,0.25,1,3,62,3
0.53,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.54,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.55,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.56,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.5700000000000001,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.58,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.59,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.6,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.61,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.62,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.63,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.64,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.65,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.66,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.67,0.25,0.9692307692307692,0.3333333333333333,0.2857142857142857,1,2,63,3
0.68,0.25,0.9846153846153847,0.5,0.3333333333333333,1,1,64,3
0.6900000000000001,0.25,0.9846153846153847,0.5,0.3333333333333333,1,1,64,3
0.7000000000000001,0.25,0.9846153846153847,0.5,0.3333333333333333,1,1,64,3
0.71,0.25,0.9846153846153847,0.5,0.3333333333333333,1,1,64,3
0.72,0.25,0.9846153846153847,0.5,0.3333333333333333,1,1,64,3
0.73,0.25,0.9846153846153847,0.5,0.3333333333333333,1,1,64,3
0.74,0.25,1.0,1.0,0.4,1,0,65,3
0.75,0.25,1.0,1.0,0.4,1,0,65,3
0.76,0.25,1.0,1.0,0.4,1,0,65,3
0.77,0.25,1.0,1.0,0.4,1,0,65,3
0.78,0.25,1.0,1.0,0.4,1,0,65,3
0.79,0.25,1.0,1.0,0.4,1,0,65,3
0.8,0.25,1.0,1.0,0.4,1,0,65,3
0.81,0.25,1.0,1.0,0.4,1,0,65,3
0.8200000000000001,0.25,1.0,1.0,0.4,1,0,65,3
0.8300000000000001,0.25,1.0,1.0,0.4,1,0,65,3
0.84,0.0,1.0,0.0,0.0,0,0,65,4
0.85,0.0,1.0,0.0,0.0,0,0,65,4
0.86,0.0,1.0,0.0,0.0,0,0,65,4
0.87,0.0,1.0,0.0,0.0,0,0,65,4
0.88,0.0,1.0,0.0,0.0,0,0,65,4
0.89,0.0,1.0,0.0,0.0,0,0,65,4
0.9,0.0,1.0,0.0,0.0,0,0,65,4
0.91,0.0,1.0,0.0,0.0,0,0,65,4
0.92,0.0,1.0,0.0,0.0,0,0,65,4
0.93,0.0,1.0,0.0,0.0,0,0,65,4
0.9400000000000001,0.0,1.0,0.0,0.0,0,0,65,4
0.9500000000000001,0.0,1.0,0.0,0.0,0,0,65,4
0.96,0.0,1.0,0.0,0.0,0,0,65,4
0.97,0.0,1.0,0.0,0.0,0,0,65,4
0.98,0.0,1.0,0.0,0.0,0,0,65,4
0.99,0.0,1.0,0.0,0.0,0,0,65,4
1.0,0.0,1.0,0.0,0.0,0,0,65,4
